qid,Len,Den,P7,P13
,b2040,dTDP-4-dehydrorhamnose reductase subunit%2C NAD%28P%29-binding%2C of dTDP-L-rhamnose synthase,"""900""",Q8
,b2041,dTDP-glucose 4%2C6 dehydratase%2C NAD%28P%29-binding,"""1086""",Q8
,b2042,putative regulatory subunit for GalU,"""894""",Q8
,b2043,colanic acid biosynthesis protein,"""1395""",Q8
,b2044,putative glycosyl transferase,"""1221""",Q8
,b2045,colanic acid biosynthesis protein,"""1281""",Q8
,b2046,putative colanic acid exporter,"""1479""",Q8
,b2047,colanic biosynthesis UDP-glucose lipid carrier transferase,"""1395""",Q8
,b2048,phosphomannomutase,"""1371""",Q8
,b2049,mannose-1-phosphate guanyltransferase,"""1437""",Q8
,b2050,putative glycosyl transferase,"""1224""",Q8
,b2051,GDP-mannose mannosyl hydrolase,"""480""",Q8
,b2052,bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase%2F GDP-4-dehydro-6-L-deoxygalactose reductase,"""966""",Q8
,b2053,GDP-D-mannose dehydratase%2C NAD%28P%29-binding,"""1122""",Q8
,b2054,putative acyl transferase,"""549""",Q8
,b2056,putative colanic acid polymerase,"""1218""",Q8
,b2057,putative glycosyl transferase,"""1218""",Q8
,b2060,protein-tyrosine kinase,"""2163""",Q8
,b2061,protein-tyrosine phosphatase,"""444""",Q8
,b2063,inner membrane protein,"""1584""",Q8
,b2064,putative assembly protein,"""1854""",Q8
,b2065,2%27-deoxycytidine 5%27-triphosphate deaminase,"""582""",Q8
,b2066,uridine%2Fcytidine kinase,"""642""",Q8
,b2067,putative diguanylate cyclase%2C GGDEF domain signaling protein,"""3318""",Q8
,b2068,3-methyl-adenine DNA glycosylase II,"""849""",Q8
,b2069,putative chaperone,"""1353""",Q8
,b2070,hypothetical protein,"""1947""",Q8
,b4436,sRNA antisense regulator of toxic IbsA protein,"""143""",Q8
,b2073,hypothetical protein,"""660""",Q8
,b4667,toxic membrane protein,"""60""",Q8
,b4437,sRNA antisense regulator of toxic IbsB protein,"""136""",Q8
,b4668,toxic membrane protein,"""57""",Q8
,b2074,multidrug efflux system%2C subunit A,"""1248""",Q8
,b2075,multidrug efflux system%2C subunit B,"""3123""",Q8
,b2076,multidrug efflux system%2C subunit C,"""3078""",Q8
,b2077,putative arabinose efflux transporter,"""1416""",Q8
,b2078,sensory histidine kinase in two-component regulatory system with BaeR,"""1404""",Q8
,b2079,DNA-binding response regulator in two-component regulatory system with BaeS,"""723""",Q8
,b2080,conserved protein%2C UPF0339 family,"""333""",Q8
,b2081,putative peptidase,"""1362""",Q8
,b4438,sRNA antisense regulator of ompX mRNA instability%2C Hfq-dependent%2C cAMP-induced,"""87""",Q8
,b2082,positive regulator of P2 growth %28insertion of P2 ogr gene into the chromosome%29,"""219""",Q8
,b2083,pseudo,"""213""",Q8
,b2085,hypothetical protein,"""318""",Q8
,b2086,phosphatidylglycerol kinase%2C metal-dependent,"""900""",Q8
,b4498,pseudo,"""475""",Q8
,b2088,IS3 transposase A,"""300""",Q8
,b2089,IS3 transposase B,"""867""",Q8
,b4498,pseudo,"""299""",Q8
,b2091,galactitol-1-phosphate dehydrogenase%2C Zn-dependent and NAD%28P%29-binding,"""1041""",Q8
,b2092,galactitol-specific enzyme IIC component of PTS,"""1356""",Q8
,b2093,galactitol-specific enzyme IIB component of PTS,"""285""",Q8
,b2094,galactitol-specific enzyme IIA component of PTS,"""453""",Q8
,b2096,D-tagatose 1%2C6-bisphosphate aldolase 2%2C catalytic subunit,"""855""",Q8
,b2097,fructose-bisphosphate aldolase class I,"""1053""",Q8
,b2098,nucleoside transporter%2C low affinity,"""1278""",Q8
,b2099,putative hydrolase,"""1005""",Q8
,b2100,putative kinase,"""966""",Q8
,b2101,putative DNA-binding transcriptional regulator,"""747""",Q8
,b2102,putative hydrolase,"""819""",Q8
,b2103,bifunctional hydroxy-methylpyrimidine kinase%2F hydroxy-phosphomethylpyrimidine kinase,"""801""",Q8
,b2104,hydoxyethylthiazole kinase,"""789""",Q8
,b2105,DNA-binding transcriptional repressor of rcnA,"""273""",Q8
,b2106,membrane protein conferring nickel and cobalt resistance,"""825""",Q8
,b2107,periplasmic modulator of Ni and Co efflux,"""339""",Q8
,b2108,putative fimbrial-like adhesin protein,"""1035""",Q8
,b2109,putative outer membrane protein,"""2481""",Q8
,b2111,putative fimbrial-like adhesin protein,"""543""",Q8
,b2112,hypothetical protein,"""282""",Q8
,b2113,antiporter inner membrane protein,"""1110""",Q8
,b2114,methionyl-tRNA synthetase,"""2034""",Q8
,b4499,pseudo,"""3796""",Q8
,b2118,hypothetical protein,"""3633""",Q8
,b4541,hypothetical protein,"""318""",Q8
,b2119,putative transporter subunit: ATP-binding component of ABC superfamily,"""1089""",Q8
,b2120,hypothetical protein,"""2280""",Q8
,b2121,hypothetical protein,"""1137""",Q8
,b2122,pseudo,"""2001""",Q8
,b2123,lipoprotein%2C DUF1307 family,"""462""",Q8
,b2124,conserved protein%2C DUF1456 family,"""471""",Q8
,b2125,putative response regulator in two-component system withYehU,"""720""",Q8
,b2126,putative sensory kinase in two-component system with YehT%2C inner membrane protein,"""1686""",Q8
,b2127,DNA-binding transcriptional regulator,"""732""",Q8
,b4542,hypothetical protein,"""108""",Q8
,b2128,putative transporter subunit: membrane component of ABC superfamily,"""732""",Q8
,b2129,putative transporter subunit: ATP-binding component of ABC superfamily,"""927""",Q8
,b2130,putative transporter subunit: membrane component of ABC superfamily,"""1158""",Q8
,b2131,putative transporter subunit: periplasmic-binding component of ABC superfamily,"""918""",Q8
,b2132,beta-D-glucoside glucohydrolase%2C periplasmic,"""2298""",Q8
,b2133,D-lactate dehydrogenase%2C FAD-binding%2C NADH independent,"""1716""",Q8
,b2134,D-alanyl-D-alanine endopeptidase,"""933""",Q8
,b2135,inner membrane protein%2C Yip1 family,"""588""",Q8
,b2136,inner membrane protein%2C DedA family,"""579""",Q8
,b2137,putative oxidoreductase with NAD%28P%29-binding Rossmann-fold domain,"""762""",Q8
,b2139,pseudo,"""1436""",Q8
,b4679,hypothetical protein,"""84""",Q8
,b2140,tRNA-dihydrouridine synthase C,"""948""",Q8
,b2141,inner membrane protein%2C UPF0299 family,"""399""",Q8
,b2142,inner membrane protein%2C LrgB family,"""696""",Q8
,b2143,cytidine%2Fdeoxycytidine deaminase,"""885""",Q8
,b2144,vancomycin high temperature exclusion protein%3B mutants have a defective envelope more permeable to vancomycin at 42 degrees,"""720""",Q8
,b2146,dihydropyrimidine dehydrogenase%2C NADH-dependent%2C subunit N,"""1239""",Q8
,b2147,dihydropyrimidine dehydrogenase%2C NADH-dependent%2C subunit C,"""1236""",Q8
,b2148,methyl-galactoside transporter subunit,"""1011""",Q8
,b2149,fused methyl-galactoside transporter subunits of ABC superfamily: ATP-binding components,"""1521""",Q8
,b2150,methyl-galactoside transporter subunit,"""999""",Q8
,b2151,DNA-binding transcriptional repressor,"""1041""",Q8
,b2152,putative inner membrane protein,"""1158""",Q8
,b2153,GTP cyclohydrolase I,"""669""",Q8
,b2154,S-formylglutathione hydrolase,"""837""",Q8
,b2155,catecholate siderophore receptor CirA,"""1992""",Q8
,b2156,lysine transporter,"""1470""",Q8
,b2157,putative DNA-binding transcriptional regulator,"""882""",Q8
,b2158,inner membrane protein%2C UPF0324 family,"""1050""",Q8
,b2159,endonuclease IV with intrinsic 3%27-5%27 exonuclease activity,"""858""",Q8
,b2160,putative kinase,"""1089""",Q8
,b2161,nucleoside permease,"""1251""",Q8
,b2162,ribonucleoside hydrolase 2,"""942""",Q8
,b2163,DNA-binding transcriptional activator of stationary phase nitrogen survival,"""660""",Q8
,b2164,putative nucleoside transporter,"""1251""",Q8
,b2165,pseudouridine 5%27-phosphate glycosidase,"""939""",Q8
,b2166,pseudouridine kinase,"""942""",Q8
,b2167,fused fructose-specific PTS enzymes: IIBcomponent%2FIIC components,"""1692""",Q8
,b2168,fructose-1-phosphate kinase,"""939""",Q8
,b2169,fused fructose-specific PTS enzymes: IIA component%2FHPr component,"""1131""",Q8
,b2170,lactose%2Fglucose efflux system,"""1182""",Q8
,b4502,UPF0153 cysteine cluster protein%2C function unknown,"""255""",Q8
,b2171,elongation factor P-like protein,"""573""",Q8
,b2172,putative D-mannonate oxidoreductase%2C NAD-dependent,"""1467""",Q8
,b2173,Zn-stimulated GTPase involved in zinc homeostasis%3B mutants are cadmium and EDTA sensitive%3B Zn%282%2B%29 binding protein,"""987""",Q8
,b2174,lipid A 1-diphosphate synthase%3B undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase,"""714""",Q8
,b2175,mutational suppressor of prc thermosensitivity%2C outer membrane lipoprotein,"""567""",Q8
,b2176,resistance protein for phages lambda and N4%2C when overexpressed%2C predicted membrane-anchored cyclic-di-GMP phosphodiesterase,"""1557""",Q8
,b2177,microcin C transporter YejABEF%2C periplasmic binding protein%3B ABC family,"""1815""",Q8
,b2178,microcin C transporter YejABEF%2C permease subunit%3B ABC family,"""1095""",Q8
,b2179,microcin C transporter YejABEF%2C permease subunit%3B ABC family,"""1026""",Q8
,b2180,microcin C transporter%2C ATP-binding subunit%3B ABC family,"""1590""",Q8
,b2181,hypothetical protein,"""345""",Q8
,b2182,bicyclomycin%2Fcysteine%2Fsulfonamide efflux transporter,"""1191""",Q8
,b2183,16S rRNA pseudouridine%28516%29 synthase,"""696""",Q8
,b2184,putative ATP-dependent DNA or RNA helicase,"""1761""",Q8
,b2185,50S ribosomal subunit protein L25,"""285""",Q8
,b2186,spermidine nucleoid-associated protein,"""1008""",Q8
,b2187,conserved protein%2C UPF0352 family,"""228""",Q8
,b2188,putative hydrolase%2C inner membrane,"""1761""",Q8
,b2189,tRNA-Pro,"""77""",Q8
,b2190,pseudo,"""2525""",Q8
,b2192,IS5 transposase and trans-activator,"""1017""",Q8
,b2193,DNA-binding response regulator in two-component regulatory system with NarQ or NarX,"""648""",Q8
,b2190,pseudo,"""67""",Q8
,b2194,heme lyase%2C CcmH subunit,"""1053""",Q8
,b2197,periplasmic heme chaperone,"""480""",Q8
,b2200,heme exporter subunit,"""663""",Q8
,b2201,heme exporter subunit,"""624""",Q8
,b2202,quinol dehydrogenase%2C electron source for NapAB,"""603""",Q8
,b2204,ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase %28NapAB%29,"""864""",Q8
,b2205,ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase %28NapAB%29,"""696""",Q8
,b2206,nitrate reductase%2C periplasmic%2C large subunit,"""2487""",Q8
,b2208,ferredoxin-type protein%2C role in electron transfer to periplasmic nitrate reductase NapA,"""495""",Q8
,b4604,hypothetical protein,"""165""",Q8
,b2209,ecotin%2C a serine protease inhibitor,"""489""",Q8
,b2210,malate dehydrogenase%2C FAD%2FNAD%28P%29-binding domain,"""1647""",Q8
,b2211,microcin J25 efflux pump%2C TolC-dependent%3B fused ABC transporter permease and ATP-binding components,"""1644""",Q8
,b2212,oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions,"""651""",Q8
,b2213,fused DNA-binding transcriptional dual regulator%2FO6-methylguanine-DNA methyltransferase,"""1065""",Q8
,b2214,putative thiamine biosynthesis lipoprotein,"""1056""",Q8
,b2215,outer membrane porin protein C,"""1104""",Q8
,b4439,sRNA antisense regulator affecting ompF expression%2C Hfq-dependent,"""93""",Q8
,b2216,phosphotransfer intermediate protein in two-component regulatory system with RcsBC,"""2673""",Q8
,b2217,DNA-binding response regulator in two-component regulatory system with RcsC and YojN,"""651""",Q8
,b2218,hybrid sensory kinase in two-component regulatory system with RcsB and YojN,"""2850""",Q8
,b2219,sensory histidine kinase in two-component regulatory system with AtoC,"""1827""",Q8
,b2220,fused response regulator of ato operon%2C in two-component system with AtoS: response regulator%2Fsigma54 interaction protein,"""1386""",Q8
,b2221,acetyl-CoA:acetoacetyl-CoA transferase%2C alpha subunit,"""663""",Q8
,b2222,acetyl-CoA:acetoacetyl-CoA transferase%2C beta subunit,"""651""",Q8
,b2224,acetyl-CoA acetyltransferase,"""1185""",Q8
,b2225,DUF2135 family protein%2C function unknown,"""777""",Q8
,b2226,tandem DUF2300 domain protein%2C function unknown,"""1650""",Q8
,b4500,pseudo,"""4605""",Q8
,b2230,DUF2138 family protein%2C function unknown,"""1689""",Q8
,b2231,DNA gyrase %28type II topoisomerase%29%2C subunit A,"""2628""",Q8
,b2232,bifunctional 3-demethylubiquinone-9 3-methyltransferase%2F 2-octaprenyl-6-hydroxy phenol methylase,"""723""",Q8
,b2233,adhesin,"""3753""",Q8
,b2234,ribonucleoside-diphosphate reductase 1%2C alpha subunit,"""2286""",Q8
,b2235,ribonucleoside-diphosphate reductase 1%2C beta subunit%2C ferritin-like protein,"""1131""",Q8
,b2236,ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical %28Y%2A%29 cofactor maintenance,"""255""",Q8
,b2237,conserved protein%2C acid-induced,"""651""",Q8
,b2239,periplasmic glycerophosphodiester phosphodiesterase,"""1077""",Q8
,b2240,sn-glycerol-3-phosphate transporter,"""1359""",Q8
,b2241,sn-glycerol-3-phosphate dehydrogenase %28anaerobic%29%2C large subunit%2C FAD%2FNAD%28P%29-binding,"""1629""",Q8
,b2242,sn-glycerol-3-phosphate dehydrogenase %28anaerobic%29%2C membrane anchor subunit,"""1260""",Q8
,b2243,anaerobic sn-glycerol-3-phosphate dehydrogenase%2C C subunit%2C 4Fe-4S iron-sulfur cluster,"""1191""",Q8
,b2244,hypothetical protein,"""900""",Q8
,b4543,hypothetical protein,"""186""",Q8
,b2245,2-keto-3-deoxy-L-rhamnonate aldolase,"""804""",Q8
,b2247,L-rhamnonate dehydratase,"""1206""",Q8
,b2248,putative DNA-binding transcriptional regulator for the rhm operon,"""783""",Q8
,b2249,hypothetical protein,"""1203""",Q8
,b2250,outer membrane protein%2C possible porin,"""543""",Q8
,b2251,nucleoside triphosphatase,"""426""",Q8
,b2252,putative LPS core heptose%28II%29-phosphate phosphatase,"""603""",Q8
,b2253,uridine 5%27-%28beta-1-threo-pentapyranosyl-4-ulose diphosphate%29 aminotransferase%2C PLP-dependent,"""1140""",Q8
,b2254,undecaprenyl phosphate-L-Ara4FN transferase,"""969""",Q8
,b2255,fused UDP-L-Ara4N formyltransferase%2FUDP-GlcA C-4%27-decarboxylase,"""1983""",Q8
,b2256,undecaprenyl phosphate-alpha-L-ara4FN deformylase,"""891""",Q8
,b2257,4-amino-4-deoxy-L-arabinose transferase,"""1653""",Q8
,b4544,undecaprenyl phosphate-alpha-L-ara4N exporter%3B flippase ArnEF subunit,"""336""",Q8
,b2258,undecaprenyl phosphate-alpha-L-ara4N exporter%3B flippase ArnEF subunit,"""387""",Q8
,b2259,inactive two-component system connector protein,"""267""",Q8
,b2260,O-succinylbenzoate-CoA ligase,"""1356""",Q8
,b2262,dihydroxynaphthoic acid synthetase,"""858""",Q8
,b2263,2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase,"""759""",Q8
,b2264,bifunctional 2-oxoglutarate decarboxylase%2F SHCHC synthase,"""1671""",Q8
,b2265,isochorismate synthase 2,"""1296""",Q8
,b2267,putative acyltransferase with acyl-CoA N-acyltransferase domain,"""462""",Q8
,b2268,RNase BN%2C tRNA processing enzyme,"""918""",Q8
,b2269,protease%2C capable of cleaving an AMC-ubiquitin model substrate,"""1212""",Q8
,b2270,hypothetical protein,"""1728""",Q8
,b2271,putative peptidase,"""972""",Q8
,b2274,hypothetical protein,"""423""",Q8
,b2275,TPR-like repeats-containing protein,"""849""",Q8
,b2276,NADH:ubiquinone oxidoreductase%2C membrane subunit N,"""1458""",Q8
,b2278,NADH:ubiquinone oxidoreductase%2C membrane subunit L,"""1842""",Q8
,b2279,NADH:ubiquinone oxidoreductase%2C membrane subunit K,"""303""",Q8
,b2280,NADH:ubiquinone oxidoreductase%2C membrane subunit J,"""555""",Q8
,b2281,NADH:ubiquinone oxidoreductase%2C chain I,"""543""",Q8
,b2285,NADH:ubiquinone oxidoreductase%2C chain E,"""501""",Q8
,b2286,NADH:ubiquinone oxidoreductase%2C fused CD subunit,"""1791""",Q8
,b2287,NADH:ubiquinone oxidoreductase%2C chain B,"""663""",Q8
,b2288,NADH:ubiquinone oxidoreductase%2C membrane subunit A,"""444""",Q8
,b2289,DNA-binding transcriptional repressor of flagellar%2C motility and chemotaxis genes,"""939""",Q8
,b2290,valine-pyruvate aminotransferase 2,"""1218""",Q8
,b2291,5%27-nucleotidase,"""600""",Q8
,b2292,putative transporter,"""1833""",Q8
,b2293,sugar phosphatas,"""651""",Q8
,b2294,conserved protein%2C UPF0304 family,"""495""",Q8
,b2295,inner membrane protein%2C UPF0208 family,"""456""",Q8
,b2296,acetate kinase A and propionate kinase 2,"""1203""",Q8
,b2297,phosphate acetyltransferase,"""2145""",Q8
,b2298,putative inner membrane protein,"""1521""",Q8
,b2299,putative NUDIX hydrolase,"""543""",Q8
,b2300,phosphodiesterase activity on bis-pNPP,"""555""",Q8
,b2301,glutathione S-transferase,"""645""",Q8
,b2302,GSH-dependent disulfide bond oxidoreductase,"""648""",Q8
,b2303,D-erythro-7%2C8-dihydroneopterin triphosphate 2%27-epimerase and dihydroneopterin aldolase,"""363""",Q8
,b2304,conserved protein with NAD%28P%29-binding Rossmann-fold domain,"""894""",Q8
,b2305,hypothetical protein,"""891""",Q8
,b2306,histidine%2Flysine%2Farginine%2Fornithine transporter subunit,"""774""",Q8
,b2307,histidine%2Flysine%2Farginine%2Fornithine transporter subunit,"""717""",Q8
,b2308,histidine%2Flysine%2Farginine%2Fornithine transporter permease subunit,"""687""",Q8
,b2309,histidine%2Flysine%2Farginine%2Fornithine transporter subunit,"""783""",Q8
,b2310,lysine%2Farginine%2Fornithine transporter subunit,"""783""",Q8
,b2311,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,"""570""",Q8
,b2312,amidophosphoribosyltransferase,"""1518""",Q8
,b2313,membrane protein required for colicin V production,"""489""",Q8
,b2314,membrane-anchored periplasmic protein involved in septation,"""663""",Q8
,b2315,bifunctional folylpolyglutamate synthase%2F dihydrofolate synthase,"""1269""",Q8
,b2316,acetyl-CoA carboxylase%2C beta %28carboxyltransferase%29 subunit,"""915""",Q8
,b2317,conserved inner membrane protein,"""660""",Q8
,b2318,tRNA pseudouridine%2838-40%29 synthase,"""813""",Q8
,b2319,putative semialdehyde dehydrogenase,"""1014""",Q8
,b2320,erythronate-4-phosphate dehydrogenase,"""1137""",Q8
,b2321,putative flagella assembly protein,"""996""",Q8
,b2322,putative arabinose efflux transporter,"""1179""",Q8
,b2323,3-oxoacyl-%5Bacyl-carrier-protein%5D synthase I,"""1221""",Q8
,b2324,fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme,"""2007""",Q8
,b2325,hypothetical protein,"""279""",Q8
,b2326,Elongation Factor P Lys34 hydroxylase,"""549""",Q8
,b2327,inner membrane protein%2C UPF0721 family,"""810""",Q8
,b2328,murein DD-endopeptidase,"""825""",Q8
,b2329,chorismate synthase,"""1086""",Q8
,b2330,N5-glutamine methyltransferase,"""933""",Q8
,b2331,putative DNA endonuclease,"""552""",Q8
,b2332,hypothetical protein,"""822""",Q8
,b2333,putative fimbrial-like adhesin protein,"""540""",Q8
,b4661,pseudo,"""2646""",Q8
,b2339,putative fimbrial-like adhesin protein,"""564""",Q8
,b2340,phosphohistidine phosphatase,"""486""",Q8
,b2341,fused enoyl-CoA hydratase and epimerase and isomerase%2F3-hydroxyacyl-CoA dehydrogenase,"""2145""",Q8
,b2342,beta-ketoacyl-CoA thiolase%2C anaerobic%2C subunit,"""1311""",Q8
,b2343,conserved protein%2C UPF0381 family,"""285""",Q8
,b2344,long-chain fatty acid outer membrane transporter,"""1341""",Q8
,b2345,hypothetical protein,"""1059""",Q8
,b2346,ABC transporter maintaining OM lipid asymmetry%2C OM lipoprotein component,"""756""",Q8
,b2347,putative inner membrane protein,"""933""",Q8
,b2348,tRNA-Arg,"""75""",Q8
,b2349,CPS-53 %28KpLE1%29 prophage%3B predicted prophage CPS-53 integrase,"""1158""",Q8
,b2350,CPS-53 %28KpLE1%29 prophage%3B bactoprenol-linked glucose translocase %28flippase%29,"""363""",Q8
,b2351,CPS-53 %28KpLE1%29 prophage%3B bactoprenol glucosyl transferase,"""921""",Q8
,b2352,serotype-specific glucosyl transferase%2C CPS-53 %28KpLE1%29 prophage,"""1332""",Q8
,b2353,pseudo,"""291""",Q8
,b2354,CPS-53 %28KpLE1%29 prophage%3B conserved protein,"""441""",Q8
,b2359,CPS-53 %28KpLE1%29 prophage%3B putative protein,"""363""",Q8
,b2358,pseudo,"""708""",Q8
,b2360,CPS-53 %28KpLE1%29 prophage%3B putative protein,"""825""",Q8
,b2361,CPS-53 %28KpLE1%29 prophage%3B conserved protein,"""537""",Q8
,b2362,CPS-53 %28KpLE1%29 prophage%3B putative protein,"""363""",Q8
,b2363,CPS-53 %28KpLE1%29 prophage%3B putative protein,"""306""",Q8
,b4545,pseudo,"""51""",Q8
,b4501,response regulator inhibitor for tor operon,"""201""",Q8
,b4643,pseudo,"""15""",Q8
,b2364,DNA-binding transcriptional dual regulator,"""936""",Q8
,b2365,D-serine permease,"""1338""",Q8
,b2366,D-serine dehydratase,"""1329""",Q8
,b2367,putative multidrug efflux system,"""1539""",Q8
,b2368,EmrKY-TolC multidrug resistance efflux pump%2C membrane fusion protein component,"""1164""",Q8
,b2369,DNA-binding response regulator in two-component regulatory system with EvgS,"""615""",Q8
,b2370,hybrid sensory histidine kinase in two-component regulatory system with EvgA,"""3594""",Q8
,b2371,putative CoA-transferase%2C NAD%28P%29-binding,"""1146""",Q8
,b2372,putative transporter,"""945""",Q8
,b2373,oxalyl CoA decarboxylase%2C ThDP-dependent,"""1695""",Q8
,b2374,formyl-CoA transferase%2C NAD%28P%29-binding,"""1251""",Q8
,b2377,putative inner membrane protein,"""243""",Q8
,b2378,palmitoleoyl-acyl carrier protein %28ACP%29-dependent acyltransferase,"""921""",Q8
,b4680,expressed protein%2C membrane-associated,"""72""",Q8
,b2379,valine-pyruvate aminotransferase 3,"""1239""",Q8
,b2380,putative sensory kinase in two-component system with YpdB,"""1698""",Q8
,b2381,putative response regulator in two-component system with YpdA,"""735""",Q8
,b2382,putative DNA-binding protein,"""858""",Q8
,b2383,fused predicted PTS enzymes: Hpr component%2Fenzyme I component%2Fenzyme IIA component,"""2496""",Q8
,b2384,aminopeptidase,"""1038""",Q8
,b2385,Xaa-Pro aminopeptidase,"""1086""",Q8
,b2386,putative enzyme IIC component of PTS,"""1248""",Q8
,b2387,putative enzyme IIB component of PTS,"""327""",Q8
,b2388,glucokinase,"""966""",Q8
,b2389,putative ion channel protein,"""1257""",Q8
,b2390,hypothetical protein,"""327""",Q8
,b2392,manganese%2Fdivalent cation transporter,"""1239""",Q8
,b2393,nucleoside %28except guanosine%29 transporter,"""1203""",Q8
,b2394,IS186 transposase,"""1113""",Q8
,b2395,putative diguanylate cyclase,"""2190""",Q8
,b2396,tRNA-Ala,"""76""",Q8
,b2397,tRNA-Ala,"""76""",Q8
,b2398,putative DNA-binding protein%2C DUF1323 family,"""345""",Q8
,b2399,conserved protein%2C DUF1323 family%3B N-terminal HTH domain of the MerR superfamily,"""393""",Q8
,b2400,glutamyl-tRNA synthetase,"""1416""",Q8
,b2401,tRNA-Val,"""76""",Q8
,b2402,tRNA-Val,"""76""",Q8
,b2403,tRNA-Val,"""76""",Q8
,b2404,tRNA-Lys,"""76""",Q8
,b2405,DNA-binding transcriptional activator for for xapAB,"""885""",Q8
,b2406,xanthosine transporter,"""1257""",Q8
,b2408,putative outer membrane protein,"""765""",Q8
,b2409,putative DNA-binding transcriptional regulator,"""927""",Q8
,b2410,putative inner membrane protein,"""999""",Q8
,b4546,hypothetical protein,"""219""",Q8
,b2411,DNA ligase%2C NAD%28%2B%29-dependent,"""2016""",Q8
,b2412,FtsZ stabilizer,"""987""",Q8
,b2413,putative inner membrane protein,"""762""",Q8
,b2414,cysteine synthase A%2C O-acetylserine sulfhydrolase A subunit,"""972""",Q8
,b2415,phosphohistidinoprotein-hexose phosphotransferase component of PTS system %28Hpr%29,"""258""",Q8
,b2416,PEP-protein phosphotransferase of PTS system %28enzyme I%29,"""1728""",Q8
,b2417,glucose-specific enzyme IIA component of PTS,"""510""",Q8
,b2418,pyridoxal-pyridoxamine kinase%2Fhydroxymethylpyrimidine kinase,"""852""",Q8
,b2419,hypothetical protein,"""375""",Q8
,b2420,hypothetical protein,"""735""",Q8
,b2421,cysteine synthase B %28O-acetylserine sulfhydrolase B%29,"""912""",Q8
,b2422,sulfate%2Fthiosulfate transporter subunit,"""1098""",Q8
,b2423,sulfate%2Fthiosulfate ABC transporter subunit,"""876""",Q8
,b2425,thiosulfate-binding protein,"""1017""",Q8
,b2426,furfural resistance protein%2C predicted short-chain oxidoreductase,"""792""",Q8
,b2427,repressor for murPQ%2C MurNAc 6-P inducible,"""858""",Q8
,b2428,N-acetylmuramic acid 6-phosphate %28MurNAc-6-P%29 etherase,"""897""",Q8
,b2429,N-acetylmuramic acid permease%2C EIIBC component%2C PTS system,"""1425""",Q8
,b2430,penicillin binding protein PBP4B%3B weak DD-carboxypeptidase activity,"""1305""",Q8
,b2431,porphyrinogen oxidase%2C cytoplasmic,"""900""",Q8
,b2432,RpoE-regulated lipoprotein,"""576""",Q8
,b2433,inner membrane protein,"""450""",Q8
,b2434,putative acyltransferase with acyl-CoA N-acyltransferase domain,"""426""",Q8
,b2435,N-acetylmuramoyl-l-alanine amidase I,"""870""",Q8
,b2436,coproporphyrinogen III oxidase,"""900""",Q8
,b2437,eut operon transcriptional activator%2C AraC family,"""1053""",Q8
,b2438,putative carboxysome structural protein with predicted role in ethanolamine utilization,"""501""",Q8
,b2439,putative carboxysome structural protein with predicted role in ethanolamine utilization,"""660""",Q8
,b2440,ethanolamine ammonia-lyase%2C small subunit %28light chain%29,"""888""",Q8
,b2441,ethanolamine ammonia-lyase%2C large subunit%2C heavy chain,"""1362""",Q8
,b2442,CPZ-55 prophage%3B predicted integrase,"""1209""",Q8
,b2443,CPZ-55 prophage%3B putative protein,"""642""",Q8
,b2444,CPZ-55 prophage%3B putative protein,"""246""",Q8
,b2445,CPZ-55 prophage%3B putative protein,"""369""",Q8
,b2447,CPZ-55 prophage%3B putative protein,"""594""",Q8
,b2449,CPZ-55 prophage%3B putative protein,"""393""",Q8
,b2450,CPZ-55 prophage%3B putative protein,"""810""",Q8
,b2451,reactivating factor for ethanolamine ammonia lyase,"""1404""",Q8
,b2452,ethanolamine transporter,"""1227""",Q8
,b2455,aldehyde oxidoreductase%2C ethanolamine utilization protein,"""1404""",Q8
,b2456,Ethanolamine catabolic microcompartment shell protein,"""288""",Q8
,b2457,putative carboxysome structural protein%2C ethanolamine utilization protein,"""294""",Q8
,b2458,phosphate acetyltransferase,"""1017""",Q8
,b2459,cobalamin adenosyltransferase involved in ethanolamine utilization,"""804""",Q8
,b2460,hypothetical protein,"""702""",Q8
,b2461,conserved protein with nucleoside triphosphate hydrolase domain,"""480""",Q8
,b2462,putative carboxysome structural protein with predicted role in ethanol utilization,"""336""",Q8
,b2463,fused malic enzyme predicted oxidoreductase%2Fpredicted phosphotransacetylase,"""2280""",Q8
,b2464,transaldolase A,"""951""",Q8
,b2465,transketolase 2%2C thiamin-binding,"""2004""",Q8
,b2466,hypothetical protein,"""1044""",Q8
,b2467,GDP-mannose pyrophosphatase,"""576""",Q8
,b2468,fused predicted oxidoreductase: FeS binding subunit%2FNAD%2FFAD-binding subunit,"""1980""",Q8
,b2469,sensory histidine kinase in two-component regulatory system with NarP %28NarL%29,"""1701""",Q8
